	IP匿名度	代理IP	代理位置	代理协议	响应速度	存活时间	打分	最后验证时间
0	高匿代理服务	190.207.185.114:8080	中国 内蒙古 呼伦贝尔 联通	HTTP代理	5.23	80天 21小时 36分钟 59秒	20	2019年5月28日 01:03
1	高匿代理服务	124.11.241.197:80	中国 香港  台灣固網	HTTP代理	1.31	93天 15小时 37分钟 28秒	19	2019年5月28日 01:03
2	高匿代理服务	117.212.90.154:39315	中国 安徽 池州 电信	HTTP代理	3.03	177天 11小时 11分钟 20秒	1669	2019年5月28日 01:03
3	高匿代理服务	1.0.177.79:8080	中国 福建 漳州 电信	HTTP代理	4.91	33天 0小时 33分钟 50秒	134	2019年5月28日 01:03
4	高匿代理服务	109.200.188.59:8080	中国 安徽 阜阳 电信	HTTP代理	6.75	44天 3小时 45分钟 12秒	75	2019年5月28日 01:03
5	高匿代理服务	201.208.61.66:8080	中国 河南 新乡 新飞金信	HTTP代理	6.34	80天 21小时 20分钟 52秒	25	2019年5月28日 01:03
6	高匿代理服务	27.43.184.91:9999	中国 广东 揭阳 联通	HTTP代理	1.32	130天 17小时 57分钟 20秒	19	2019年5月28日 01:03
7	高匿代理服务	117.80.233.146:9999	中国 江苏 苏州 电信	HTTP代理	1.78	142天 2小时 49分钟 58秒	18	2019年5月28日 01:03
8	高匿代理服务	124.11.211.177:80	中国 台湾	HTTP代理	1.44	177天 15小时 51分钟 28秒	53	2019年5月28日 01:03
9	高匿代理服务	117.70.38.229:9999	中国 安徽 池州 电信	HTTP代理	1.21	148天 17小时 52分钟 50秒	19	2019年5月28日 01:03
10	高匿代理服务	49.48.199.142:8080	中国 河北 邯郸 联通	HTTP代理	1.6	143天 12小时 26分钟 8秒	19	2019年5月28日 01:03
11	高匿代理服务	171.37.152.129:8123	中国 广西 南宁 联通	HTTP代理	1.79	90天 14小时 26分钟 52秒	36	2019年5月28日 01:03
12	高匿代理服务	183.158.0.247:53281	中国 浙江 杭州 电信	HTTP代理	6.95	33天 13小时 1分钟 46秒	179	2019年5月28日 01:03
13	高匿代理服务	190.38.53.48:8080	中国 河南 周口 电信	HTTP代理	4.67	152天 18小时 45分钟 19秒	41	2019年5月28日 01:03
14	高匿代理服务	117.91.252.113:9999	中国 江苏 扬州 电信	HTTP代理	1.1	105天 4小时 2分钟 54秒	19	2019年5月28日 01:03
15	高匿代理服务	200.84.190.230:8080	中国 北京 北京 阿里云	HTTP代理	6.41	93天 15小时 35分钟 46秒	7	2019年5月28日 01:03
16	高匿代理服务	138.128.242.151:8138	中国 湖北 天门 移动	HTTP代理	1.59	80天 14小时 52分钟 41秒	1793	2019年5月28日 01:03
17	高匿代理服务	183.89.204.136:8080	中国 山东 菏泽 电信	HTTP代理	2.28	60天 11小时 55分钟 21秒	796	2019年5月28日 01:03
18	高匿代理服务	113.111.111.10:8118	中国 广东 广州 电信	HTTP代理	1.11	126天 8小时 23分钟 14秒	1142	2019年5月28日 01:03
19	高匿代理服务	190.199.153.18:8080	中国 广西 北海 联通	HTTP代理	2.76	80天 23小时 0分钟 19秒	79	2019年5月28日 01:03
20	高匿代理服务	36.69.200.166:8080	中国 江苏 宿迁 联通	HTTP代理	5.01	108天 19小时 28分钟 16秒	698	2019年5月28日 01:03
21	高匿代理服务	124.122.225.181:8080	中国 台湾 台北	HTTP代理	6.69	27天 11小时 28分钟 15秒	75	2019年5月28日 01:03
22	高匿代理服务	160.119.126.30:51420	中国 北京 北京 青云QingCloud/联通	HTTP代理	2.91	140天 5小时 25分钟 26秒	1627	2019年5月28日 01:03
23	高匿代理服务	182.111.121.1:9999	中国 江西 宜春 电信	HTTP代理	1.2	76天 16小时 38分钟 48秒	38	2019年5月28日 01:03
